[2021-06-22 20:54:04.537] [Generic] [info] ------------------ START OF LOG ----------------------

[2021-06-22 20:54:04.715] [V5Engine] [info] GLFW successfully initialized
[2021-06-22 20:54:05.154] [Generic] [info] App V5Editor start
[2021-06-22 20:54:05.171] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.171] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.188] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.188] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.204] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.204] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.221] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.221] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.238] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.238] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.254] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.254] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.271] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.271] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.288] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.288] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.304] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.304] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.321] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.321] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.338] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.338] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.354] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.354] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.371] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.371] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.388] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.388] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.404] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.404] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.421] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.421] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.438] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.438] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.454] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.454] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.471] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.471] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.488] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.488] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.504] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.504] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.521] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.521] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.538] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.538] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.554] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.554] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.571] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.571] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.588] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.588] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.604] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.604] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.621] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.621] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.638] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.638] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.654] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.654] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.671] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.671] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.688] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.688] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.704] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.704] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.721] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.721] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.738] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.738] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.754] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.754] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.771] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.771] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.788] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.788] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.804] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.804] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.821] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.821] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.838] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.838] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.854] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.854] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.871] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.871] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.888] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.888] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.904] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.904] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.921] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.921] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.938] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.938] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.954] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.954] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.971] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.971] [Generic] [info] Update GUI layer
[2021-06-22 20:54:05.988] [Generic] [info] Update editor layer
[2021-06-22 20:54:05.988] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.004] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.004] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.021] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.021] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.038] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.038] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.054] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.054] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.071] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.071] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.088] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.088] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.104] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.104] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.121] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.121] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.138] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.138] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.154] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.154] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.171] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.171] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.188] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.188] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.204] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.204] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.221] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.221] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.238] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.238] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.254] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.254] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.271] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.271] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.288] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.288] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.304] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.304] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.321] [Generic] [info] Update editor layer
[2021-06-22 20:54:06.321] [Generic] [info] Update GUI layer
[2021-06-22 20:54:06.451] [Generic] [info] App V5Editor event 1
[2021-06-22 20:54:06.451] [V5Engine] [info] Engine Run has ended
[2021-06-22 20:54:06.451] [Generic] [info] App V5Editor quit
[2021-06-22 20:54:06.473] [V5Engine] [info] Engine successfully shutdown
